ENTITY, TYPE, COUNT
opgaven a. industrieel ontwerp en uitvoering ,PER,7
bood hij aan voor mij iets,PER,7
California College of Arts and Crafts,ORG,7
op te richten school te Eindhoven,ORG,7
bij de Association Internationale des Arts,ORG,7
California College of Arts and Crafts,ORG,6
Vereniging van Vrienden van Modern Glas,ORG,6
School of Humanities and Social Science,ORG,6
van tentoonstellingen van nederlandse gebonden kunst,PERSON,6
van een vacature op de hoogte,PERSON,6
een geschikte kandidaat op te sporen,PERSON,6
plaatsen van advertenties zou overwogen kunnen ,PERSON,6
Department of Art University of Wisconsin,ORG,6
kleine ovens -  een warm hart toedroegen,PERSON,6
the General Assembly of the World,ORG,6
van de plaats van de ambachtskunstenaar,PERSON,6
8 h. - Office de Tourisme,PERCENT,6
verkrijgbaar bij de Raad van Arbeid,PERSON,6
the Royal College of Art London,ORG,6
Royal College of Art School of Ceramics,ORG,6
the Center for the Visual Arts,ORG,6
nog in een stadium van experiment,MISC,6
van kandidaten bij een open sollicitatieprocedure,PER,6
worden om bijvoorbeeld 3 of 4,MISC,6
gedurende twee jaren zonder wezenlijke onderbreking,PER,6
hans suasso de lima de prado,PER,6
WHITNEY which has only been fired,MISC,6
International Council of Societies of Industrial Design,ORG,6
Tribunal de Grande Instance de Valence,MISC,6
beroep is een recht verschuldigd van,MISC,6
Nationaal Comité Nederland van Beeldende Kunstenaars,ORG,6
Entrée pour tube 10 x 12,MISC,6
aan de hand van de reeks dia's,PER,6
gelegenheid van de uitbreiding van ons,PER,6
This collection is used extensively by scholars,MISC,6
the case of art- ists from countries,MISC,6
van de Raad voor de Kunst,PER,6
dat geval zou naar een tijdelijke ,LOC,6
het geval van vervanging bij een,MISC,6
door een streeplijn aan te geven,LOC,6
Museum of Contemporary Crafts New York,LOC,6
hans suasso de lima de prado,PER,6
Vereniging van Vrienden van Modern Glas  ,PER,6
which may be altered by carrier,MISC,6
Liability of carrier for damages shall,MISC,6
International Council of Societies of Industrial Design,ORG,6
business and professional men and women,MISC,6
Lloyd W. Nordstrom John W. Ormsby Philip S.,PER,6
the Tempest entrain three to five times,MISC,6
eliminating the problem of hot burner products,MISC,6
my membership to run for years,MISC,6
van Harvey Littleton aan de school,PER,6
© Voor toelichting zie voorgaande pagina,ORG,5
Koninklijke Akademie voor Kunst en Vormgeving,ORG,5
Symposium International du Verre en France,ORG,5
Vereniging van beoefenaars der gebonden kunsten,ORG,5
carrier's contract of carriage or tariff,ORG,5
Prof. Dr. C. A. van Peursen,PERSON,5
30 50 70 90 100% SAN-GV,DATE,5
Nationaal Comité Nederland van Beeldende Kunstenaars,ORG,5
Artists - Royal Institute of Painters,ORG,5
de benoembaarheid van een kandidaat dient,PERSON,5
Morris Museum of Arts and Sciences,ORG,5
Webb zegt dat de organisatie van,PERSON,5
concludeert dat alle aanwezigen de internationale,PERSON,5
afkomstig van de Haagse Academie uitgenodigd,PERSON,5
Naar de mening van de commissie,PERSON,5
Royale des Beaux Arts te Brussel,ORG,5
voorzien van de handtekening van alle,PERSON,5
geschiktheid van de candidaaf voor de studie,PERSON,5
lid van de staf de opleidingen,PERSON,5
de nederlandse consul de heer J.H.Delgorge,PERSON,5
dat de mensendie mee gaan om,PERSON,5
the Cornish College of the Arts,ORG,5
ingeschreven bij de kamer van koophandel,PERSON,5
de direkteur van een van de leden,PERSON,5
the Fifth International Congress of Art,ORG,5
write for our ad rate sheet,MISC,5
HC 30 Box 25 Main Street,MISC,5
ruby glass with dark mahogany glass feathering,MISC,5
Yellow form with multi-lustered painting 1969,MISC,5
Clear glass form with multi-lustered painting,MISC,5
White goblet with blue banding 1970,MISC,5
Dark blue form with silver feathering,MISC,5
Centre National du Verre de Paris,ORG,5
National College of Art and Design,ORG,5
Aan mijn voorstudies voor industriele produkten,PER,5
leerlingen die later in het Art,PER,5
Weight for customs clearance in kg,MISC,5
Was developed in cooperation with —,MISC,5
National Endowment for the Arts Visual,ORG,5
geschiedenis van de ceramiek in Amerika,PER,5
U.S. funds) for outside US member,MISC,5
Hall in the City of London,MISC,5
gedacht in een volkomen nieuwe vormgeving,MISC,5
report to the Head of Design,ORG,5
Reclame onder leiding van Wim Jaarsveld,MISC,5
der Antrag ist gestellt und wird,MISC,5
Sammlung und Verbreitung von Material von Kunstgewerblern,MISC,5
H.G.M. van Andel van de afdeling,PER,5
stukken in een van de openbare,MISC,5
minder lessen belast gedurende die tijd,PER,5
Director of Publicity and Public relations,MISC,5
Family name of the co-worker First,ORG,5
Fill in only if you wish to,MISC,5
van de Academie van Beeldende Kunsten,PER,5
van harte welkom op de opening,PER,5
Datum van ingang van de nieuwe,PER,5
The Corning Museum of Glass to,ORG,5
wat we in New York gezien,MISC,5
voor een fraktie van de door,PER,5
Geen rijtuig of taxi te krijgen!,MISC,5
HC 30 Box 25 Main Street,MISC,5
Welke is de aard van Uw,PER,5
The National Museum of Modern Art,ORG,5
our furnace for the glass blowing,MISC,5
All applicants from outside the United,MISC,5
op hun gebied de beste zijn,MISC,5
Watch for our next big issue,MISC,5
The names of carriers parties to,MISC,5
het probleem van de vrije tijd,PER,5
en met Leendert van der Linden,MISC,5
Institute of International Education New York,ORG,5
Department of Art University of Wisconsin,ORG,5
la température de celle-ci restant trop basse,MISC,5
carrier's contract of carriage or tariff,MISC,5
aan de hand van een serie,PER,5
een goed product op de markt ,ORG,5
excess of &8M in the current ,MISC,5
de leerlingen van de eerste groep,PER,5
zijn de ambachtskunsten en de industriéle ,LOC,5
Herrn Prof. Dr. A. von Saldern,PER,5
Director of Publicity and Public relations,MISC,5
The number on the right is,MISC,5
hun dependance te Gottwaldov  III leerstoel voor,LOC,5
Het isolerend glasraam       ,MISC,5
De drie dimensies van een landschap,MISC,5
compensation in lieu of the notification,ORG,4
Cologne Museum of Arts and Crafts,ORG,4
Centre National du Verre de Paris,ORG,4
Groninger Museum voor Stad en Lande,ORG,4
la réunion de positifs pour projections,EVENT,4
desquelles les artistes présentent leur travail,PERSON,4
lation but in which the craftsmen,ORG,4
My employer will match my gift,WORK_OF_ART,4
Der Preis in der Verleger Liste,ORG,4
Eine der hervorragenden Erfolgsgeschichten im Verkauf,ORG,4
Central School of Arts and Crafts,ORG,4
durée illimitée dans le but de ,PERSON,4
Academie voor Beeldende Kunsten St. Joost,ORG,4
de hoofdafdelingen L.O., N.O. en V.H.M.O.,WORK_OF_ART,4
contribution est au Comité de Pro-,ORG,4
Entrée pour tube 10 x 12,ORG,4
Association est gérée par un Comité,ORG,4
Koninklijke Akademie voor Kunst en Vorm- geving,ORG,4
the Bronx Museum of the Arts,ORG,4
the beginning of the 19th century,DATE,4
The First World Congress of Craftsmen,ORG,4
zelf ook de verschillende technieken beoefenen,PERSON,4
Wij hebben de eer u hierbij,PERSON,4
aangesloten bij de Nederlandse Federatie van,PERSON,4
Nacional de Artes e Industrias Populares,ORG,4
the Museum of Art and Craft,ORG,4
bereken de straal van deze bol,PERSON,4
the last day of the Conference,DATE,4
de werkplaats van al die mensen,FAC,4
Museum of Art, University of Michigan,ORG,4
Arts and Science, Department of Arts,ORG,4
Sitzung des International Council of Societies,ORG,4
dan ben je de ideale ontwerper,PERSON,4
National Endowment for the Arts Fellowship,ORG,4
14 h. - Office de Tourisme,PERCENT,4
tingen van de innerlijke sponning van,PERSON,4
FEBRUARY 10 - MARCH 3, 1989,DATE,4
sera fixé le siége de ladite association,ORG,4
une association de fait sans aucun,ORG,4
le ou les membres qui repré-,PERSON,4
August 25 to September 5, 1968,DATE,4
Intussen hadden zij bij een glasfabriek,PERSON,4
de linkerbovenhoek van Uw enveloppe gebruiken,PERSON,4
onafhankelijk van de faciliteiten van een glasfabriek,PERSON,4
The Art Gallery of Western Australia,FAC,4
Apellido Prénom / Nombre de pila,ORG,4
que le secretariat de la conference,ORG,4
Den Haag heeft ze eerst - ,WORK_OF_ART,4
van de mooiste glas-oven van de we-,PERSON,4
Electric Safety System For Forced Air,ORG,4
San Francisco Museum of Modern Art,ORG,4
Op de Porceleyne Fles te Delft,PERSON,4
gulks afhangt van de statuten van,PERSON,4
vrouw ben ik voor je geweest,PERSON,4
New York geen theatercultuur meer bestaat,LOC,4
Verslag van de vergadering op maandag,PER,4
Cologne Museum of Arts and Crafts,LOC,4
Finnish Society of Crafts and Design,ORG,4
maar ook vele andere jonge mensen,LOC,4
Uhr und von 14 bis 18 Uhr,MISC,4
and suitable for outside wall cladding,MISC,4
mening van de werkgroep eerder zijn,PER,4
the Convention and special contracts of,MISC,4
inclusive of legal fees and costs,ORG,4
Copenhagen will be arranged as numbers warrant,MISC,4
Exploration in Depth of Peruvian Crafts,MISC,4
Trustee for the American Craft Council,MISC,4
WERKGROEP GLAS  als zwaarste taak sinds 1949,MISC,4
zelfstandig het glas in kleine ovens,PER,4
hand van de bescheiden globaal gecontroleerd,PER,4
Telex 36115 Telegrams and Cables Blycol,MISC,4
which would afford the craftsman legal,PER,4
administratie in Madison werd bemand door,MISC,4
being actually fired into individual pieces,MISC,4
werkplaats van al die mensen dte,PER,4
doelstellingen van de World Crafts Council,PER,4
Ze bestaat uit vertegenwoordigers van studenten,MISC,4
Der Preis in der Verleger Liste,MISC,4
mensen die nog niet in de,PER,4
Interpretation and recording of the discussions,ORG,4
National Endowment for the Arts Fellowship,ORG,4
Los Angeles County Museum of Art,LOC,4
die  na drie jaar chairman van het,MISC,4
all artists and companies to enter,ORG,4
wordt gelegd of geheel afwezig is,MISC,4
President of the World Crafts Council,MISC,4
zal het onder 1 genoemde ontwerp,MISC,4
aan de kwaliteit van de glaskunst,PER,4
The Art and History of Glass,MISC,4
Catalog he wrote in the preface,MISC,4
In addition to the above class,MISC,4
the Pilchuck School began its first,ORG,4
Our appreciation is extended to the individuals,MISC,4
door een leerling aan het gebouw,MISC,4
Indiana Jones and the Last Crusade,MISC,4
Hace usted el favor de proclamarnos,MISC,4
Entrée pour tube 8 x 10,MISC,4
placed the matter before his colleague,MISC,4
het tekenonderwijs een rol gaat spelen,MISC,4
Henny van Overbeek Lia van Vught,PER,4
opzet van de tekenles kan geven,PER,4
van De Porceleyne Fles te Delft,PER,4
Luncheon at the Royal Dublin Society,MISC,4
Uitvoering in 3 x 220 Volt,MISC,4
Breda en Rotterdam op 15 maart,ORG,4
come and compliment the studio for shorter,MISC,4
Cologne Museum of Arts and Crafts,LOC,4
Finnish Society of Crafts and Design,ORG,4
by machining flat for inside use,MISC,4
and suitable for outside wall cladding,MISC,4
To be sent to the Committee,MISC,4
If you do not receive your copy,PER,4
the Convention and special contracts of carriage,ORG,4
hij speelde in de ontwikkeling van het,ORG,4
het dak van de nog open,PER,4
een oude bakkerij bij haar woonhuis,LOC,4
for the dura- tion of the conference,MISC,4
made from Lima for Latin American,MISC,4
will take up the full day,ORG,4
addition to a line of production,MISC,4
or of their Fine Art Departments,MISC,4
The goods supplied remain our property,ORG,4
’ as defined by the Convention,MISC,4
may be contrary to a law,MISC,4
unless a higher value is declared,MISC,4
een door de glasresearch-man Dominique Labino,PER,4
Whatever help comes to the craftsman,MISC,4
Beaux Arts te Brussel en ver- ,LOC,4
Head Design Department National College of Arts,ORG,4
Ga nooit met een patiént sjouwen,MISC,4
provided for our guests and tickets,ORG,4
D.C. castors and storage area for,ORG,4
Herman Zaalberg  Arts and Sciences Advisory Council,PER,4
dan ben je de ideale ontwerper,PER,4
van de Vereniging voor Originele Gratiek,PER,4
een tegenbezoek van het Royal College,PER,4
research op het gebied van experimenten,ORG,4
Chicago en Mineapolis en met prof,LOC,4
mits een "Craftsman of the spi- ,PER,4
’ en de ontwerpers van het bedrijf,MISC,4
the day begins with breakfast at ,ORG,4
estimation of the amound of gas ,ORG,4
I think they called our movement,MISC,4
who started the whole "mouvement" asks,ORG,4
And the needs are many—for propane,MISC,4
at the Four Seasons Olympic Hotel,MISC,4
quality and excitement of the work ,ORG,4
Richard Royal John Feige Ginny M. Ruffner,PER,4
waardoor de aandacht of de orde zou,PER,4
uit een andere dan de hoogste ,MISC,4
qui avait pour nom les Journées,MISC,4
portera doré- navant le nom de «,PER,4
Swedish State School of Arts and Design,ORG,4
This permission is granted on a,MISC,4
West-Betuwe Het centraal bureau is gevestigd te,PER,4
de ontwikkeling van kultuur en samenleving,LOC,4
ce qui implique l’adhésion aux présents statuts,MISC,4
bevorderen van de totstandkoming van een,PER,4
Out of these games come ideas,MISC,4
private company manufactures and markets top ,ORG,4
voorzien van de handtekening van alle ,PER,4
au développement du travail des femmes,ORG,3
the Direction shall choose the offi- cers,ORG,3
Decision shall be by majority vote,ORG,3
the person to represent their area,WORK_OF_ART,3
allow me to touch their tools,PERSON,3
réflexion évolutive sur les implications artistiques,ORG,3
L’information dans le cadre du Centre,ORG,3
Centre de Formation des Responsables Cultu-,ORG,3
Centre de Formation des Personnels Communaux,ORG,3
The Pilchuck Glass School's studio complex consists,WORK_OF_ART,3
La réalisation des piéces de taille,EVENT,3
Musée des Beaux Arts de Rouen,ORG,3
It can be reached from either,ORG,3
Frau B. R. M. de Neeve,PERSON,3
Pres. Mr. M. C. Karawik Chakrabandhu,ORG,3
sels voor de wegenbouw’ en van ,ORG,3
especially for us are collector's items,PERSON,3
killed by an academy but by,PERSON,3
the following definitions for the term ,WORK_OF_ART,3
Le Musée du Verre de Sars-Poteries,ORG,3
d'associations et d'agences gouvernementales dans le,WORK_OF_ART,3
the Museum of Art and Craft,ORG,3
Groninger Museum voor Stad en Lande,PERSON,3
Cultureel Centrum van Houten bij Utrecht,ORG,3
férentes techniques de peinture sur verre,PERSON,3
The Latin-American governments further the export,WORK_OF_ART,3
The Society of Graphic Art -,WORK_OF_ART,3
Japan and the west coast of,WORK_OF_ART,3
the undisputed love of my life,WORK_OF_ART,3
Massachusetts Council on the Arts Fellowship,ORG,3
They are undergraduate and graduate students,WORK_OF_ART,3
The last meeting of the Direction,WORK_OF_ART,3
Galerie Santje van Hunnik De Rijp,PERSON,3
Herr Prof. Dr. A. von Saldern,ORG,3
Association internationale pour l’Histoire du Verre,ORG,3
finish voor Willem Il en ZZV,ORG,3
Musée du verre Atelier du verre ,ORG,3
Koninklijke Academie voor Kunst en Vorm- geving,ORG,3
The hot shop schedule ends at,WORK_OF_ART,3
Marché International de la Piéce Unique,ORG,3
lege credit for work done at ,ORG,3
20 30 40 50 60 70,DATE,3
and museum acceptance has been immediate Mainly,ORG,3
Arts of Doctor of Philiosophy degree,ORG,3
DE TIJD VAN RENAISSANCE EN REFORMATIE,WORK_OF_ART,3
La Jolla Museum of Contemporary Art,WORK_OF_ART,3
David J. Carey Mr. and Mrs,PERSON,3
Crafts Council formed at the First,ORG,3
the practical application of such an ,WORK_OF_ART,3
De bij de procedure betrokken geruite,WORK_OF_ART,3
Australia y el Dr. d'Arcy Hayman,PERSON,3
una recepcion ofrecida por las au-,ORG,3
y mostrar lo que es bueno,ORG,3
structions concerning its use and return,ORG,3
the Executive Committee for the exhibition,WORK_OF_ART,3
The School of Arts and Crafts,ORG,3
Nederlandse Maatschappij voor Energie en Milieu,ORG,3
production of these types of glass- ,ORG,3
The specific purpose of the meeting,WORK_OF_ART,3
Friihe Geschichte der Lampenarbeit — Fakten,ORG,3
October will be focussing on export porcelain.,WORK_OF_ART,3
bij de aanvang van de cursus,PERSON,3
vak onder de knie te krijgen,PERSON,3
dix membres les délégations des 74,ORG,3
the Prague College of Applied Arts,ORG,3
the Square of the Republic station,FAC,3
van de fabriek de nodige slijpstenen,PERSON,3
June 8 through June 19, 1964,DATE,3
Production and Marketing in One World,WORK_OF_ART,3
the Cultural Development of the Community,LAW,3
the Penland Gallery and Information Center,ORG,3
Columbus College of Art and Design,ORG,3
van de Academie van Beeldende Kunsten,PERSON,3
le rayonnement des activités du Centre,ORG,3
Centre National du Verre de Paris,ORG,3
au niveau de la création plastique,PERSON,3
Centre de Formation des Personnels Communaux,ORG,3
van De Porceleyne Fles te Delft,PERSON,3
vele anderen die de opening bijwoonden,PERSON,3
van de invloeden van de moderne,PERSON,3
van de kleur en de weeftechniek,PERSON,3
September 23 to November 6, 1967,DATE,3
Frau B. R. M. de Neeve,PERSON,3
Vereniging van Vrienden van Modern Glas,PERSON,3
ook de organisatoren van een con-,ORG,3
den van de Bond voor Weten-,PERSON,3
kunnen op grond van een zekere,PERSON,3
de grondcirkel van een kegel K,PERSON,3
dan weer de op een mededelingenbord,PERSON,3
al gesuggereerd dit vaker te doen,PERSON,3
de combinatie van de weeftechniek van,PERSON,3
Van de contrabas-instru- menten zijn twee soorten,PERSON,3
een snelle wijze kan een gemeentelijke,PERSON,3
Hold Second World Congress of Crafts-,ORG,3
Glas van de Gerrit Rietveld Academie,PERSON,3
kun je zeggen dat de glasopleiding,PRODUCT,3
Le Musée du Verre de Sars-Poteries,FAC,3
the South Side Halls of Residence,FAC,3
gaststudente van de UMPRUM Braag Stanja,PERSON,3
the last ten or fifteen years,DATE,3
the American Ceramic Society Art Award,ORG,3
van leden van de kascontrolecommissie doen,PERSON,3
verlenen van de bepalingen van dit reglement,PERSON,3
The Latin-American Seminar on Popular Arts,ORG,3
algemene werkplaatsen de vaste Technical Assistent,PERSON,3
salarissen werden geadministreerd door de centrale,PERSON,3
ROYAL LEERDAM HOLLAND P.O. BOX 8,ORG,3
waarbij bij uitvallen van de pot,PERSON,3
De realisatie van de gezamnelijke werkplaats,PERSON,3
vergaderingen van alle betrokkenen bij een,PERSON,3
zal de gehele dag gemoeid zijn,PERSON,3
the National Museum of Popular Arts,ORG,3
de glasmakers schaar de benenschaar, de klieschaar,PERSON,3
the National University of Fine Art,ORG,3
zorgen dat er tijdens de tentoonstel- ,PERSON,3
Paul White - Paul Langridge -,PERSON,3
van buiten de praktijk van het,ORG,3
gezien tegen de achtergrond van een falend,PERSON,3
van de Porceleyne Fles te Delft,PRODUCT,3
Nu hebben de studenten van de ,PERSON,3
The Universal Declaration of Human Rights,LAW,3
De ook aanwezige Bernardine de Neeve,PERSON,3
G.P. Stips-van Weel van de afd,PERSON,3
National College of Art and Design,ORG,3
July 22 and August 26, 1989,DATE,3
P. E. Hoff en B. Windinge,PERSON,3
zullen van te voren al mensen,PERSON,3
1:00 pm 2:30 pm 3:30 pm,TIME,3
1:00 pm 2:30 pm 3:00 pm,TIME,3
Susan & NW Marble & Terrazzo,ORG,3
Glass Viscosity and Coefficient Of Expansion,ORG,3
about the end of September 1961,DATE,3
G. H. Frischat H. D. Hillen,PERSON,3
zij leerde een kleine glasoven bouwen,PERSON,3
Aan de rol van deze adviescommissie,PERSON,3
Glasblowing - a search for Form,WORK_OF_ART,3
the National Society of African Culture,ORG,3
gebogen delen van de schijnbare omtrek,PERSON,3
the Pittsburgh Center for the Arts,ORG,3
tember 25 to November 8, 1964,DATE,3
behalen van de Master of Fine Arts,PERSON,3
van de statuten van de vereniging,PERSON,3
van de statuten van de Vereniging,PERSON,3
the North Carolina Board of Health,ORG,3
De leden van de werkgroep brengen,PERSON,3
National Endowment for the Arts Fellowships,ORG,3
De leerlingen hebben zich van alle,PERSON,3
February 25 — March 25, 1979,DATE,3
the last thirty or forty years,DATE,3
chargée de vapeur de sel elle,PERSON,3
18 en 19 mei startte de dubbelvier,QUANTITY,3
Frans van Eck kreeg de tweede,PERSON,3
THE UNIVERSITY OF KANSAS - LAWRENCE,ORG,3
The Corning Museum of Glass N.Y.,ORG,3
Harvey Littletons Studio in Spruce Pine,ORG,3
van de R.A. en de LSK,PERSON,3
ze bij de administratie kan opvragen,PERSON,3
The Continuous Use Limit of Fiberfrax,WORK_OF_ART,3
INTERNATIONAL ASSOCIATION ASSOCIATION INTERNATIONALE INTERNATIONALE VEREINIGUNG,ORG,3
June 27 to July 1, 1966,DATE,3
diese uns zur Verdffentlichung zu Uberlassen,PERSON,3
G. DE VRIES & ZONEN N.V.,ORG,3
van een maand kon voor hem,PERSON,3
DECLARATION OF RIGHTS OF CREATIVE MAN,WORK_OF_ART,3
Chairman, Department of Art, University of Wisconsin,ORG,3
Marché International de la Piéce Unique,FAC,3
Mijn lesbegeleidingen hebben daarmee te maken,PERSON,3
tegenwoordigheid van de na te noemen,FAC,3
Gezien de aard van de musische,PERSON,3
Zweden zijn de ambachtskunsten en de,GPE,3
The Handicrafts & Handlooms Exports Corp.,ORG,3
Van de voornaamste meubelen tekeningen maken,PERSON,3
een expositie gehouden van de jongste,PRODUCT,3
cuenta hotel es de girar con,ORG,3
Kevlar & Zetex Gloves & Mitts,ORG,3
De raad van de gemeente Huizen,PERSON,3
rekenen dat een der kommissieleden de,PERSON,3
binnen de academie de "werkgroep glas,PERSON,3
The XXII International Salon of Ceramics,ORG,3
La Jolla Museum of Contemporary Art,ORG,3
the Bezalel Academy’s School of De-,ORG,3
bezig de capaciteit van de DPP,PERSON,3
van 2 mei de conclusies hebben,PERSON,3
voor de secretaris van de COR,ORG,3
Designated for Pilchuck Society Scholarship Fund,WORK_OF_ART,3
Arthur H. Boelter/Boelter, Silver & Gale,ORG,3
binnen de doelstellingen van de fabrieksopleiding,PERSON,3
Een van de beide deskundige leden,PERSON,3
7th June to 14th June, 1965,DATE,3
Comité Vrienden Modern Glas Den Haag,PERSON,3
tijdens mijn gastlessen met de studenten,PERSON,3
W.A.M. van der Wiel de aangewezen,PERSON,3
Secretario General de la Trienal de Mildn,ORG,3
de doeleinden van de vereniging bestemd,PERSON,3
the University of California at Berke-,ORG,3
natuurlijk af van de omvang van,PERSON,3
bepalen welke volgens hen de beste,PERSON,3
tijdens een bijeenkomst van de adviescommissie,PERSON,3
Morning FUTURE WORLD CRAFTS COUNCIL ORGANIZATION,ORG,3
groen tijdens de groei en later,PERSON,3
werkorgaan van de Vereniging van Vrienden,PERSON,3
Rue de Louvain 4 - BRUXELLES,ORG,3
a. b. s. de la Commission,PERSON,3
van de University of Wisconsin Madison,ORG,3
geschiktheid van de candidaat voor de studie,PERSON,3
De derde regel stellen wij voor,FAC,3
van de gehele regeling van dat artikel,PERSON,3
glas wat uit de vrije hand,PERSON,3
San Francisco Glass & Design, Inc.,ORG,3
Bij de bepaling van de bestandheid,PERSON,3
ranging and not confined to Western music,MISC,3
Goblet clear bowl with white feathering,MISC,3
Vereeniging van Beoefenaars der Gebonden Kunsten,PER,3
kunst als neerslag van een geestelijk,PER,3
Director, Maison des Matiers d'Art Francais,MISC,3
the World Crafts Council will always,MISC,3
Officers and Members of the Direction,ORG,3
Mr. Cyril Wood to obtain memberships,MISC,3
It will be published three times,MISC,3
van het kunstonderwijs zeer belangrijk geweest,PER,3
lesgeven in de praktijk werkzaam zijn,MISC,3
door het vaak inschakelen van gast-,PER,3
Teil von westindischer Kunst beeinflu&t sind,PER,3
Centre de Formation des Responsables Cultu-,ORG,3
Centre de Formation des Personnels Communaux,ORG,3
Gedenkboek van de Academie van Beeldende,PER,3
hulp van meesterglasmaker Leendert van der Linden,PER,3
who are engaged in other disciplines,MISC,3
Albert: the forging of heavy metals,MISC,3
must be paid by May 15,MISC,3
A small school store sells basic,MISC,3
The hot shop is closed from 1,MISC,3
To be forwarded to Viajes Taber,MISC,3
Deux fours de fusion a bassin,MISC,3
Un four électrique a sole mobile,MISC,3
Icelandic College of Art and Crafts,ORG,3
In consideration of the subscription rate,MISC,3
Musée des Beaux Arts de Rouen,LOC,3
hulp van Leendert van der Linden,PER,3
new and expe- rienced students can make,MISC,3
van glasblazer die kontinu aanwezig is,PER,3
vervanging toch van tijdelijke aard te zign,LOC,3
the new national gallery devoted to artist,MISC,3
Recently he turned to sculpture with,PER,3
Americans to be honored with one,MISC,3
gedaan wordt wel van waarde voor,PER,3
Deze mensen bleken reeds geruime tijd,PER,3
riteiten die we allen moeten geven,MISC,3
Peter van de Loo werkte ook,PER,3
in die fase bevinden we ons nog,MISC,3
Er zou een of ander orgaan moeten ,MISC,3
Visie van Douwes  Een van de directieleden van KSLA,PER,3
die zich verrassender- wijze in onverwachte richting,ORG,3
werd het gesmolten glas luchtbel vrij,MISC,3
werkplaats van al die mensen die,PER,3
Living along the southern California coast,MISC,3
the artist adheres to his strict,MISC,3
aesthetic to the extent of saying,MISC,3
he works in a variety of,MISC,3
Most are faintly figurative in concept,MISC,3
Richtlijn van de Raad van Europese Gemeenschappen,PER,3
Het is goed om te bedenken,MISC,3
the field of modern studio glass,MISC,3
For Abstract  Expressionism: Littleton and his peers,MISC,3
In the new Cold Working Studio,MISC,3
afkomstig van de Haagse Academie uitgenodigd  ,PER,3
Out a Career as an artist,MISC,3
can be made monthly or termly,ORG,3
unica in bezit van het rijk,MISC,3
safe or as directions for amateurs,MISC,3
responsibility for damage resulting from improper,ORG,3
who no longer have any tradition,MISC,3
berust dan ook op het ontstaan,PER,3
